domain,query_path,language,title,url,response_code,num_links,score
en.wikipedia.org,,en,Reham Abdel Ghafour - Wikipedia,https://en.wikipedia.org/wiki/Reham_Abdel_Ghafour,200,108,1
en.wikipedia.org,from=Sp,en,Category:Year of birth missing (living people) - Wikipedia,https://en.wikipedia.org/wiki/Category:Year_of_birth_missing_(living_people)?from=Sp,200,1034,1
en.wikipedia.org,from=Ym,en,Category:Year of birth missing (living people) - Wikipedia,https://en.wikipedia.org/wiki/Category:Year_of_birth_missing_(living_people)?from=Ym,200,1034,1
en.wikipedia.org,,en,Template:Monoamine reuptake inhibitors - Wikipedia,https://en.wikipedia.org/wiki/Template:Monoamine_reuptake_and_release_modulators,200,444,1
en.wikipedia.org,,en,Deena Guzder - Wikipedia,https://en.wikipedia.org/wiki/Deena_Guzder,200,169,1
mzn.wikipedia.org,,mzn,شا صفحه‌ئون - ویکی‌پدیا,https://mzn.wikipedia.org/wiki/%D8%B4%D8%A7:%D8%B5%D9%81%D8%AD%D9%87%E2%80%8C%D9%87%D8%A7%DB%8C_%D9%88%DB%8C%DA%98%D9%87,200,145,0
en.wikipedia.org,,en,DailyMed - Wikipedia,https://en.wikipedia.org/wiki/DailyMed,200,100,1
en.wikipedia.org,,en,"Changes related to ""Harpur Palate"" - Wikipedia",https://en.wikipedia.org/wiki/Special:RecentChangesLinked/Harpur_Palate,200,241,1
en.wikipedia.org,,en,William James Beal - Wikipedia,https://en.wikipedia.org/wiki/William_James_Beal,200,325,1
ur.wikipedia.org,,ur,زمرہ:تاریخ پیدائش غیر موجود - آزاد دائرۃ المعارف، ویکیپیڈیا,https://ur.wikipedia.org/wiki/%D8%B2%D9%85%D8%B1%DB%81:%D8%AA%D8%A7%D8%B1%DB%8C%D8%AE_%D9%BE%DB%8C%D8%AF%D8%A7%D8%A6%D8%B4_%D8%BA%DB%8C%D8%B1_%D9%85%D9%88%D8%AC%D9%88%D8%AF,200,68,0
en.wikipedia.org,,en,Hanns Alexander - Wikipedia,https://en.wikipedia.org/wiki/Hanns_Alexander,200,135,1
en.wikipedia.org,,en,Constitutive androstane receptor - Wikipedia,https://en.wikipedia.org/wiki/Constitutive_androstane_receptor,200,1624,1
en.wikipedia.org,,en,European Medicines Agency - Wikipedia,https://en.wikipedia.org/wiki/European_Medicines_Agency,200,481,1
en.wikipedia.org,,en,Romualdas Aleliūnas - Wikipedia,https://en.wikipedia.org/wiki/Romualdas_Aleli%C5%ABnas,200,105,1
en.wikipedia.org,,en,Sarpogrelate - Wikipedia,https://en.wikipedia.org/wiki/Sarpogrelate,200,1158,1
en.wikipedia.org,,en,5-HT2 receptor - Wikipedia,https://en.wikipedia.org/wiki/5-HT2_receptor,200,1639,1
en.wikipedia.org,,en,Salih Saif Aldin - Wikipedia,https://en.wikipedia.org/wiki/Salih_Saif_Aldin,200,105,1
en.wikipedia.org,,en,Velusetrag - Wikipedia,https://en.wikipedia.org/wiki/Velusetrag,200,1248,1
en.wikipedia.org,,en,Loxapine - Wikipedia,https://en.wikipedia.org/wiki/Loxapine,200,3923,1
en.wikipedia.org,,en,"Changes related to ""Reham Abdel Ghafour"" - Wikipedia",https://en.wikipedia.org/wiki/Special:RecentChangesLinked/Reham_Abdel_Ghafour,200,268,1
en.wikipedia.org,,en,Johannie Maria Spaan - Wikipedia,https://en.wikipedia.org/wiki/Johannie_Maria_Spaan,200,81,1
en.wikipedia.org,,en,Carol Young - Wikipedia,https://en.wikipedia.org/wiki/Carol_Young,200,194,1
en.wikipedia.org,,en,Ensembl genome database project - Wikipedia,https://en.wikipedia.org/wiki/Ensembl,200,378,1
en.wikipedia.org,,en,P2RY4 - Wikipedia,https://en.wikipedia.org/wiki/P2RY4,200,1062,1
zh.wikipedia.org,,zh,Ensembl - 维基百科，自由的百科全书,https://zh.wikipedia.org/wiki/Ensembl,200,193,0
fr.wikipedia.org,,fr,Récepteur constitutif des androstanes — Wikipédia,https://fr.wikipedia.org/wiki/R%C3%A9cepteur_constitutif_des_androstanes,200,145,0
zh.wikipedia.org,,zh,基因組 - 维基百科，自由的百科全书,https://zh.wikipedia.org/wiki/%E5%9F%BA%E5%9B%A0%E7%BB%84,200,628,0
en.wikipedia.org,,en,IKZF1 - Wikipedia,https://en.wikipedia.org/wiki/IKZF1,200,1141,1
en.wikipedia.org,,en,Template:Transcription factor and coregulator deficiencies - Wikipedia,https://en.wikipedia.org/wiki/Template:Transcription_factor_and_coregulator_deficiencies,200,174,1
en.wikipedia.org,,en,MSX1 - Wikipedia,https://en.wikipedia.org/wiki/MSX1,200,1149,1
en.wikipedia.org,,en,Category:Articles with Project Gutenberg links - Wikipedia,https://en.wikipedia.org/wiki/Category:Articles_with_Project_Gutenberg_links,200,294,1
en.wikipedia.org,,en,MYBL2 - Wikipedia,https://en.wikipedia.org/wiki/MYBL2,200,1010,1
sh.wikipedia.org,,sh,Velusetrag - Wikipedia,https://sh.wikipedia.org/wiki/Velusetrag,200,145,0
en.wikipedia.org,,en,Homeobox - Wikipedia,https://en.wikipedia.org/wiki/Homeodomain_fold,200,1553,1
en.wikipedia.org,,en,Eighth European Parliament - Wikipedia,https://en.wikipedia.org/wiki/8th_European_Parliament,200,431,1
