detected_language,url,response_code,num_links,response_type,declared_language
en,https://en.wikipedia.org/wiki/Special:UserRights/Dinithi2,200,41,HTML,en
en,https://en.wikipedia.org/wiki/Special:Contributions/HJ_Mitchell,200,324,HTML,en
,https://sk.wikipedia.org/wiki/Wikip%C3%A9dia:Spr%C3%A1vcovia/Povolenie_a_zru%C5%A1enie_funkcie_rollback,200,64,HTML,sk
en,https://en.wikipedia.org/wiki/User_talk:HJ_Mitchell,200,170,HTML,en
en,https://en.wikipedia.org/wiki/Special:Contributions/Kudpung,200,320,HTML,en
en,https://www.mediawiki.org/wiki/VisualEditor/Roadmap/Update_2016-06-23,200,93,HTML,en
en,https://en.wikipedia.org/wiki/User_talk:Wittylama,200,2709,HTML,en
en,https://en.wikipedia.org/wiki/User_talk:SophieHutchings,200,97,HTML,en
en,https://en.wikipedia.org/wiki/User_talk:SojoAustralia,200,101,HTML,en
en,https://en.wikipedia.org/wiki/User_talk:Rigelstatham,200,133,HTML,en
en,https://en.wikipedia.org/wiki/User_talk:Bostondesignguide,200,63,HTML,en
en,https://en.wikipedia.org/wiki/User_talk:DPitaro,200,116,HTML,en
en,https://en.wikipedia.org/wiki/User_talk:AmyCollins88,200,70,HTML,en
en,https://en.wikipedia.org/wiki/User_talk:Kathleen_Gonzalez,200,100,HTML,en
en,https://en.wikipedia.org/wiki/User_talk:JasonRhoden25,200,150,HTML,en
en,https://en.wikipedia.org/wiki/User_talk:RWOverdijk,200,127,HTML,en
en,https://phabricator.wikimedia.org/T165140,200,152,HTML,
en,https://en.wikipedia.org/wiki/User_talk:AleksandrMironov,200,127,HTML,en
en,https://en.wikipedia.org/wiki/Special:UserRights/AvicBot,200,47,HTML,en
en,https://en.wikipedia.org/wiki/Special:RecentChangesLinked/Wikipedia:Administrators%27_guide/Granting_and_revoking_user_rights,200,434,HTML,en
en,https://en.wikipedia.org/wiki/Special:UserRights/HJ_Mitchell,200,106,HTML,en
en,https://en.wikipedia.org/wiki/Special:RecentChangesLinked/User_talk:HJ_Mitchell,200,399,HTML,en
en,https://en.wikipedia.org/wiki/Special:WhatLinksHere/User_talk:HJ_Mitchell,200,210,HTML,en
en,https://en.wikipedia.org/wiki/Wikipedia:Village_pump_(policy),200,1245,HTML,en
en,https://en.wikipedia.org/wiki/Special:UserRights/SojoAustralia,200,40,HTML,en
en,https://en.wikipedia.org/wiki/Special:Log/SojoAustralia,200,44,HTML,en
en,https://en.wikipedia.org/wiki/Special:UserRights/Rigelstatham,200,40,HTML,en
en,https://en.wikipedia.org/wiki/Special:UserRights/Bostondesignguide,200,40,HTML,en
en,https://www.gnu.org/licenses/old-licenses/gpl-2.0.html,200,55,HTML,en
en,https://en.wikipedia.org/wiki/Special:UserRights/DPitaro,200,41,HTML,en
en,https://en.wikipedia.org/wiki/Special:UserRights/AmyCollins88,200,40,HTML,en
en,https://zh.wikipedia.org/wiki/Wikipedia:%E4%BA%92%E5%8A%A9%E5%AE%A2%E6%A0%88/%E6%96%B9%E9%92%88/%E5%AD%98%E6%A1%A3/2010%E5%B9%B412%E6%9C%88,200,541,HTML,zh
en,https://en.wikipedia.org/wiki/User_talk:Drm310,200,213,HTML,en
zh_Hant,https://zh.wikipedia.org/wiki/Wikipedia:%E4%BA%92%E5%8A%A9%E5%AE%A2%E6%A0%88/%E6%96%B9%E9%92%88,200,2271,HTML,zh
zh,https://zh.wikipedia.org/wiki/Category:%E6%A4%8D%E7%89%A9%E5%B0%8F%E4%BD%9C%E5%93%81,200,328,HTML,zh
en,https://en.wikipedia.org/wiki/Special:UserRights/JasonRhoden25,200,41,HTML,en
ne,https://dty.wikipedia.org/wiki/%E0%A4%B5%E0%A4%BF%E0%A4%95%E0%A4%BF%E0%A4%AA%E0%A4%BF%E0%A4%A1%E0%A4%BF%E0%A4%AF%E0%A4%BE:%E0%A4%9A%E0%A5%8C%E0%A4%AA%E0%A4%BE%E0%A4%A4%E0%A5%8B_(%E0%A4%A8%E0%A5%80%E0%A4%A4%E0%A4%BF),200,95,HTML,dty
en,https://en.wikipedia.org/wiki/Special:Log/JasonRhoden25,200,44,HTML,en
en,https://en.wikipedia.org/wiki/Special:UserRights/AleksandrMironov,200,41,HTML,en
zh,https://zh.wikipedia.org/wiki/Wikipedia:RS,200,514,HTML,zh
en,https://en.wikipedia.org/wiki/Wikipedia:Bots/Requests_for_approval/AvicBot_2,200,90,HTML,en
